,Positive,Tested,Percent,population,area,popDensity
滋賀県,924.0,33175.0,2.79,1412415.0,4017.38,351.58
京都府,3559.0,79776.0,4.46,2568427.0,4612.2,556.88
大阪府,27037.0,412580.0,6.55,8817372.0,1905.32,4627.76
兵庫県,8100.0,122507.0,6.61,5438891.0,8401.02,647.41
奈良県,1654.0,41712.0,3.97,1322970.0,3690.94,358.44
和歌山県,578.0,15724.0,3.68,914055.0,4724.65,193.47
鳥取県,69.0,21076.0,0.33,551402.0,3507.14,157.22
島根県,181.0,8556.0,2.12,666941.0,6707.89,99.43
岡山県,1082.0,27231.0,3.97,1882356.0,7114.33,264.59
広島県,2203.0,56843.0,3.88,2794862.0,8479.64,329.6
山口県,464.0,24734.0,1.88,1341506.0,6112.54,219.47
徳島県,191.0,14274.0,1.34,721269.0,4146.75,173.94
香川県,208.0,20585.0,1.01,948801.0,1876.78,505.55
愛媛県,375.0,10863.0,3.45,1326487.0,5676.23,233.69
高知県,501.0,5271.0,9.5,689785.0,7103.64,97.1
福岡県,7366.0,239470.0,3.08,5106774.0,4986.51,1024.12
佐賀県,409.0,13371.0,3.06,808821.0,2440.69,331.39
⾧崎県,352.0,33005.0,1.07,1310660.0,4130.98,317.28
熊本県,1414.0,29926.0,4.72,1735901.0,7409.46,234.28
大分県,574.0,37251.0,1.54,1124983.0,6340.76,177.42
宮崎県,666.0,11569.0,5.76,1063759.0,7735.34,137.52
鹿児島県,875.0,33826.0,2.59,1587342.0,9187.06,172.78
沖縄県,4968.0,83657.0,5.94,1458839.0,2282.59,639.12
北海道,12197.0,212225.0,5.75,5212462.0,78421.4,66.47
青森県,390.0,8660.0,4.5,1230535.0,9645.64,127.57
岩手県,335.0,12971.0,2.58,1212201.0,15275.01,79.36
宮城県,1753.0,23759.0,7.38,2292690.0,7282.29,314.83
秋田県,95.0,3878.0,2.45,952069.0,11637.52,81.81
山形県,302.0,9487.0,3.18,1064954.0,9323.15,114.23
福島県,732.0,49610.0,1.48,1830114.0,13783.9,132.77
茨城県,2133.0,18137.0,11.76,2854131.0,6097.39,468.09
栃木県,1022.0,66091.0,1.55,1932091.0,6408.09,301.51
群馬県,1933.0,46260.0,4.18,1926370.0,6362.28,302.78
埼玉県,11675.0,281001.0,4.15,7343453.0,3797.75,1933.63
千葉県,9055.0,204487.0,4.43,6281394.0,5157.6,1217.89
東京都,51446.0,901556.0,5.71,13971109.0,2194.07,6367.67
神奈川県,16852.0,311376.0,5.41,9214151.0,2416.32,3813.3
新潟県,440.0,25739.0,1.71,2199746.0,12584.27,174.8
富山県,492.0,19756.0,2.49,1034670.0,4247.58,243.59
石川県,960.0,26887.0,3.57,1130159.0,4186.2,269.97
福井県,337.0,17490.0,1.93,762679.0,4190.52,182.0
山梨県,467.0,14278.0,3.27,806210.0,4465.27,180.55
⾧野県,1046.0,40462.0,2.59,2034145.0,13561.56,149.99
岐阜県,1731.0,56477.0,3.06,1974142.0,10621.29,185.87
静岡県,2354.0,74303.0,3.17,3618972.0,7777.35,465.32
愛知県,13967.0,170726.0,8.18,7541123.0,5173.07,1457.77
三重県,1144.0,26913.0,4.25,1767615.0,5774.49,306.11